"code","value","description","parent","reference data set","related terms","is_multi_mapped_to_c57cb90f-2126-3800-9c9f-9eab82021cdf"
"PRK","Korea (Democratic People's Republic of)","Korea (Democratic People's Republic of)",,"534561ac-1080-3714-b7aa-5a5809ff1f00",,
"BRA","Brazil","Brazil",,,,"SAO"
"MEX","Mexico","Mexico",,,,
"GBR","United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",,,,"LON"
"CAN","Canada","Canada",,,,"TOR"
"HKG","Hong Kong","Hong Kong",,,,
"ARG","Argentina","Argentina",,,,
"CHN","China","China",,,,
"RUS","Russian Federation","Russian Federation",,,,
"PRT","Portugal","Portugal","EU",,,
"DEU","Germany","Germany","EU",,,"FRA"
"BEL","Belgium","Belgium","EU",,,
"ITA","Italy","Italy","EU",,,
"JPN","Japan","Japan",,,,"OSA,TOK"
"FRA","France","France","EU",,,
"TUR","Turkey","Turkey",,,,
"NLD","Netherlands","Netherlands","EU",,,
"CHL","Chile","Chile",,,,
"NZL","New Zealand","New Zealand",,,,
"USA","United States of America","United States of America",,,,"DAL,WAS"
"EU","European Union","European Union",,,,
"AUS","Australia","Australia",,,,"SYD"
